Job Title;Description;District;Work Mode
Software Engineer Senior;Descripción del puesto Centro, empresa de Tecnología, perteneciente al Grupo Gloria, como parte de su plan de crecimiento, se encuentra en la búsqueda de los mejores talentos para ocupar la posición de: Software Engineer Senior Misión: Responsable del desarrollo, mantenimiento y soporte a Aplicaciones Web & Mobile tanto a nivel de BackEnd y FrontEnd. Analisis técnico, sinergias con seguridad de la información, Arquitectura e infraestructura y elaborar propuesta de como desarrollar soluciones digitales escalables y robustas. Se debe garantizar la continuidad y persistencia principalmente de la solución de facturación electronica del Grupo, asi como otras soluciones relacionadas. Funciones: Desarrollar tanto el BackEnd y FrontEnd de las aplicaciones Web & Mobile. Diseño y desarrollo de base de datos relacional. Mantenimiento de Aplicaciones Digitales Lecacys existentes. Desarrollo sobre Componentes AWS. Implementación & Despliegue Continuo Basico ( DevOps ) Elaboración de Propuesta Tecnica Soporte a Incidentes de Aplicaciones Existentes. Requisitos: Universitario egresado de la carrera de Ingeniería de Sistemas, Software y/o afines. Ingles a nivel intermedio. Metodología ágil Scrum y tradicional Desarrollo BackEnd ( Java Sprint Boot/Quakus, VB.net, Node Js, TypeScript, JavaScript, Nest Js). Desarrollo FrontEnd ( React, React Native, Next, TypeScript, StoryBook , React Query ) Base de Datos (SQL Server, PostgresSQL, Aurora DB,MySQL ) Herramientas de Control y versiona miento de código fuente ( BitBucket ) Implementación & Despliegue Continuo DevOps Desarrollo sobre componentes AWS Integración con sistemas legales, SAP & Seguridad de la Información.;La Victoria;Presencial
Programador Frontend Senior;"Descripción del puesto Vive la experiencia SONDA ¡Aquí transformas tu carrera! ¿Por qué ser parte de SONDA? Porque al igual que tú, amamos lo que hacemos, tenemos pasión por la innovación y estamos convencidos de que a través del conocimiento y de la tecnología no solo vamos a transformar los negocios de nuestros clientes, sino también el futuro. En SONDA vivirás una experiencia de trabajo con diversas oportunidades de desarrollo personal y profesional. Un excelente lugar para aprender y contribuir a mejorar la calidad de vida de las personas por medio de la tecnología. Buscamos a un/a Desarrollador Frontend Senior que quiera aprender y transformar su carrera, con el siguiente perfil: Lo que harás: Participarás en el desarrollo de aplicaciones Frontend de alto impacto. Colaborarás en arquitecturas basadas en microservicios y tecnologías modernas. Formarás parte de un equipo multidisciplinario que impulsa la transformación digital. Lo que buscamos en ti: Titulado en Ingeniería de Sistemas, Informática o carreras afines; o técnico titulado en Informática o Sistemas o Computación o carreras afines a las Tecnologías de la Información. Egresado o Titulado de maestría relacionado a tecnologías de la información. Experiencia comprobada de 7 años como Desarrollador Frontend y desarrollo de software. Experiencia con microservicios. Curso o Taller en HTML5 O Java con Sprint o Hybernete o curso de Angular. ¿Qué puedes esperar de nosotros? Desarrollo profesional y evolución constante de tus habilidades, siempre según tus intereses. Un ambiente colaborativo, diverso e innovador, que fomenta el trabajo en equipo.";Lima;Remoto
Analista Programador Java;"Descripción del puesto Analista Programador Java Resumen del Puesto Estamos buscando un Analista Programador Java con experiencia para unirse a nuestro equipo. El candidato ideal tendrá un sólido conocimiento de Java y experiencia en el desarrollo de aplicaciones. Buscamos una persona con disponibilidad para trabajar y colaborar en proyectos desafiantes. Responsabilidades Diseñar, desarrollar y mantener aplicaciones utilizando Java. Analizar los requisitos del sistema y diseñar soluciones eficientes. Colaborar con otros desarrolladores y equipos para entregar productos de alta calidad. Realizar pruebas y depuración de aplicaciones. Documentar el código y los procesos de desarrollo. Requisitos Título en Ciencias de la Computación o campo relacionado. Experiencia demostrable en programación Java. Conocimiento de frameworks y herramientas de desarrollo Java. Habilidad para trabajar en equipo y comunicarse eficazmente. Disponibilidad para trabajar. Presencial Programación Full-time, Indeterminado Semi Sr 1 vacante disponible Empleos relacionados Actualizado ayer Analista Programador JAVA Entelgy 2.0 💡 DÉJANOS CONTARTE LO QUE NOS HACE GENUINE 💙Buscamos profesionales que quieran reinventarse cada día 🔄, que lleven los retos en el ADN 🧬 y que sientan una pasión genuina por la tecnología 💻✨.Eso es lo que nos hace únicos, auténticos y diferentes ... Múltiples vacantes Lima, Lima Híbrido Actualizado hace 4 horas Analista Desarrollador Java ManpowerGroup Perú 3.8 Alta revisión de perfiles En Experis Perú, nos encontramos en la búsqueda del mejor talento para sumarse a los desafíos de la transformación digital para importante empresa dedicada a la Administración de Fondos Colectivos.Por ello, te invitamos a formar parte del reto como: Analista Desarrollador JavaRequisitos para el ... La Victoria, Lima Presencial Nuevo Publicado hace 2 horas Analista Programador Fullstack Java Hitss Perú 2.2 ¡En Hitss, empresa de tecnología con más de 36 años de experiencia ofreciendo soluciones innovadoras en América Latina, USA y EUROPA, nos encontramos en la búsqueda de nuestro próximo ANALISTA PROGRAMADOR JAVA/ANGULAR!REQUISITOS: Bachiller o titulado de Ingeniería de Sistemas, Informática, o ... Múltiples vacantes La Victoria, Lima Remoto Actualizado hace 6 días ANALISTA PROGRAMADOR JAVA Valtx En Valtx, empresa con 24 años de experiencia en el mercado peruano, cuyo objetivo principal es convertirse en un socio estratégico, mediante soluciones tecnológicas en los diversos aspectos de los procesos de negocios; el desarrollo, implementación y mantenimiento de aplicaciones e infraestructura ... Múltiples vacantes San Borja, Lima Híbrido Apto discapacidad Publicado hace más de 15 días Analista Programador Java G&S GESTION Y SISTEMAS SAC G&S Gestión y Sistemas es una empresa que brinda soluciones de negocios basado en TI. Somos líder en nuestro sector y reconocidos por Microsoft como Mejor Partner LATAM.Nos encontramos en búsqueda de un Analista Programador Java con el siguiente perfil:Requisitos: Universitario bachiller de las ... Miraflores, Lima Híbrido Apto discapacidad Actualizar sueldo en Mi CV Este campo solo acepta carácteres numéricos. Ver el salario promedio pretendido Bruto por área. Recuerda que el sueldo bruto es el salario total sin las retenciones e impuestos. Ingresa tu sueldo bruto pretendido y calculamos un aproximado de cuánto te queda de sueldo neto ¿Cómo lo calculamos? Postulación rápida El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo. Búsquedas Relacionadas Trabajos en Lima Trabajos en Lima Trabajos en Tecnología, Sistemas y Telecomunicaciones Trabajos en Programación ¡Descarga la app en tu celular! Términos y Condiciones Política de Privacidad Condiciones de contratación Preguntas frecuentes Ofertas de Empleo Perú © Copyright 1999-2025 Jobint";Lima;Presencial
Analista Programador Postgre/Oracle/Híbrido;Descripción del puesto Por encargo de nuestro cliente, importante empresa líder en finanzas, nos encontramos encuentra en búsqueda de: (1) Analista Programador Postgre/Oracle Requisitos Universitario de Ingeniería de Sistemas, Informática, o afines Experiencia de 3 años en puestos similares como mínimo Experiencia realizando labores de Analista de Sistemas Desarrollador Oracle (PL/SQL) nivel avanzado, store procedures, funciones, packages Desarrollador BD PostgreSQL nivel avanzado Experiencia realizando tuning de Base de Datos Conocimiento en Oracle Data Integrator (ODI) Experiencia en GCP, Cloud Composer, Cloud Storage, Cloud Functions, Data Funciton, Data low Modelamiento de Base de Datos Recomendable que haya realizado labores como Analista Fullstack Funciones: Diseñar, analizar y desarrollar soluciones en la Base de Datos Realizar la documentación correspondiente al proyecto Realizar estimaciones del trabajo solicitado Hacer las correcciones y/o mejoras de los programas realizados Coordinar el pase a producción Dar soporte post-producción de la solución;San Borja;Híbrido
Analista Programador - Sede ATE;Descripción del puesto ¡Buscamos a nuestro próximo/a Analista Programador! ¿Te apasiona el desarrollo web y quieres crecer en un equipo innovador? ¡Esta oportunidad es para ti! ✅ Lo que harás: · Analizar, diseñar e implementar aplicaciones web alineadas a las necesidades del negocio. · Documentar de forma clara las soluciones implementadas. · Trabajar en equipo con otros programadores para desplegar y respaldar código. · Detectar y resolver errores en aplicaciones existentes. · Aportar ideas a iniciativas de mejora continua del área TI. ✅ Lo que buscamos: · Egresado/a o bachiller en Ingeniería de Sistemas, Informática, Software o afines. · Experiencia mínima de 2 años en desarrollo web full stack. · Dominio de Python y React. · Manejo de bases de datos relacionales: SQL Server, MySQL u otros. ✅ Lo que ofrecemos: · Ingreso a planilla desde el primer día (todos los beneficios de ley). · EPS de libre afiliación. · Capacitaciones constantes para que sigas creciendo. Presencial Programación Full-time Senior / Semi-Senior 1 vacante disponible Avisos de BUMERAN SELECTA Publicado hace 2 días VENDEDOR - LIMA BUMERAN SELECTA 4.5 Por encargo de uno de nuestros clientes LARAMEDICALSOLUTIONS nos encontramos en la búsqueda del mejor talento para cubrir la posición de un EJECUTIVO DE VENTAS para la ciudad de LIMA en SAN NORJA LARAMEDICALSOLUTION, es una empresa de importación y Venta de Equipos Médicos y de Laboratorio Funciones Planeación y programación de visitas semanales. Promoción del portafolio de productos de la empresa. Identificación de áreas y personal clave en entidades de interés. Asistencia a capacitaciones y reuniones programadas. Gestión de zonas asignadas por la gerencia. Recopilación de datos para contacto fluido con clientes. Realización y envío de cotizaciones y respuestas a correos. Seguimiento a cotizaciones enviadas. Realización de visitas de seguimiento a cotizaciones. Levantamiento de observaciones sobre no adquisición de productos. Reporte a gerencia sobre órdenes de compra. Entrega de documentos a áreas correspondientes. Coordinación con áreas involucradas para la postventa. Requisitos: Estudios Técnicos o Profesionales culminados o truncos Experiencia mínima 01 año en la posiciones comerciales Manejo de Office a nivel intermedio Disponibilidad para trabajar Lunes a Viernes 09:00 a 06:30pm Disponibilidad para viajar para las zonas Sur Chico y Norte Chico;Ate;Presencial
Trainee Programador Jr;Descripción del puesto Perfil de Desarrollador/ Programador Junior Requisitos: Carreras universitarias sistemas a fines. (Egresado - Bachiller) Programación en Java, .NET u otros. Alta capacidad analítica Alto grado de manejo de algoritmos Disponibilidad de trabajo presencial;Miraflores;Presencial
Desarrollador Full Stack Node.js, C#, Java, AngularJS;Descripción del puesto Puesto: Desarrollador Full Stack Senior 📍 Modalidad de trabajo: Híbrido 📍 Sede: Surco Requisitos: Educación mínima: Ingeniería de Sistemas, Desarrollo de Software o carreras afines Experiencia: mínimo 5 años en desarrollo de software Conocimientos sólidos en: Bases de datos: PostgreSQL, MySQL, SQL Lenguajes y frameworks: Node.js, C#, Java, AngularJS Arquitectura: Microservicios Competencias valoradas: Capacidad de análisis y resolución de problemas Trabajo en equipo y comunicación efectiva Proactividad y orientación a resultados;Lima;Híbrido
Practicante pre profesional de automatización;Descripción del puesto 🌟 ¡LANZA TU CARRERA EN TECNOLOGÍA CON NOSOTROS! 🌟 En Canvia estamos buscando un(a) Practicante pre profesional de automatización con ganas de aprender, aportar y crecer en una empresa que lidera la transformación digital en el país. 💻🚀 👨‍💻 ¿Qué harás en el día a día? Usar herramientas de automatización Automatizar procesos internos Documentar procesos, flujos y buenas prácticas para asegurar continuidad operativa. Apoyo en desarrollo de software y automatizaciones 🎓 ¿Qué perfil buscamos? Egresado(a) técnico o universitario(a) en carreras afines a Tecnología de la Información. Con iniciativa, buena comunicación, ganas de aprender y vocación de servicio. Modalidad: Remoto 🕒 Horario: Lunes a viernes 9am - 6pm;Cercado De Lima;Remoto
Analista Programador Fullstack Java;Descripción del puesto ¡En Hitss, empresa de tecnología con más de 36 años de experiencia ofreciendo soluciones innovadoras en América Latina, USA y EUROPA, nos encontramos en la búsqueda de nuestro próximo ANALISTA PROGRAMADOR JAVA/ANGULAR! REQUISITOS: Bachiller o titulado de Ingeniería de Sistemas, Informática, o carreras afines. SKILSS TÉCNICOS: Experiencia en Java 7 o superior usando frameworks Angular versión 8 o superior (intermedio/avanzado). Spring (intermedio/avanzado), Hibernate (Intermedio),Primefaces (Intermedio). Experiencia en entorno Azure (Servicios en la nube y despliegue). Desarrollo de Webservices REST y SOAP (intermedio). Microservicios (Spring webflux que va de la mano con microservicios). Experiencia en Oracle PLSQL (intermedio). Inglès a nivel intermedio (B1 como mínimo).;La Victoria;Remoto
Desarrollador Genexus - Remoto;Descripción del puesto SOFTWARE ENTERPRISE SERVICES Somos una empresa peruana de Tecnologías de la Información y Comunicaciones, que cuenta con amplia experiencia en la prestación de servicios informáticos mediante Outsourcing TI y Fábrica de Software, para clientes nacionales e internacionales, asegurando la calidad de servicio con sólidos procesos estandarizados en un sistema integrado de gestión. Nos encontramos en la búsqueda del mejor talento para ocupar la siguiente posición: DESARROLLADOR GENEXUS Requisitos: Universitario Egresado, Titulado, Bachiller o Técnico Egresado, Titulado Carreras de Ingeniería de Sistemas, de Software, Informática, Computación o afines Experiencia de 3 a 5 años mínimo de experiencia Genexus , Bantotal y SQL Herramientas no técnicas: Trabajo en equipo Comunicación Eficaz;Cercado De Lima;Remoto
